yyyy-mm-ddTHH:MM:SSZ, BB_20-24000 
2018-08-27T11:04:55.000Z, 103.161333
2018-08-27T11:24:55.000Z, 104.578116
2018-08-27T11:44:55.000Z, 103.157143
2018-08-27T12:04:55.000Z, 102.706052
2018-08-27T12:24:55.000Z, 102.673484
2018-08-27T12:44:55.000Z, 103.119841
2018-08-27T13:04:55.000Z, 102.419394
2018-08-27T13:24:55.000Z, 101.875583
2018-08-27T13:44:55.000Z, 101.883635
2018-08-27T14:04:55.000Z, 101.866409
2018-08-27T14:24:55.000Z, 101.621878
2018-08-27T14:44:55.000Z, 101.966228
2018-08-27T15:04:55.000Z, 102.279074
2018-08-27T15:24:55.000Z, 102.781373
2018-08-27T15:44:55.000Z, 103.398597
2018-08-27T16:04:55.000Z, 103.144995
2018-08-27T16:24:55.000Z, 102.485885
2018-08-27T16:44:55.000Z, 102.581506
2018-08-27T17:04:55.000Z, 101.961930
2018-08-27T17:24:55.000Z, 101.592510
2018-08-27T17:44:55.000Z, 101.784781
2018-08-27T18:04:55.000Z, 100.873914
2018-08-27T18:24:55.000Z, 101.042624
2018-08-27T18:44:55.000Z, 101.618713
2018-08-27T19:04:55.000Z, 102.912382
2018-08-27T19:24:55.000Z, 101.701084
2018-08-27T19:44:55.000Z, 101.346829
2018-08-27T20:04:55.000Z, 101.876500
2018-08-27T20:24:55.000Z, 101.530272
2018-08-27T20:44:55.000Z, 101.876983
2018-08-27T21:04:55.000Z, 101.627008
2018-08-27T21:24:55.000Z, 100.688908
2018-08-27T21:44:55.000Z, 100.769020
2018-08-27T22:04:55.000Z, 101.101630
2018-08-27T22:24:55.000Z, 102.591258
2018-08-27T22:44:55.000Z, 101.379696
2018-08-27T23:04:55.000Z, 99.791072
2018-08-27T23:24:55.000Z, 100.337626
2018-08-27T23:44:55.000Z, 100.953622
2018-08-28T00:04:55.000Z, 102.862329
2018-08-28T00:24:55.000Z, 101.456581
2018-08-28T00:44:55.000Z, 101.768626
2018-08-28T01:04:55.000Z, 101.590156
2018-08-28T01:24:55.000Z, 101.752997
2018-08-28T01:44:55.000Z, 102.308249
2018-08-28T02:04:55.000Z, 101.602239
2018-08-28T02:24:55.000Z, 101.620043
2018-08-28T02:44:55.000Z, 102.167315
2018-08-28T03:04:55.000Z, 101.589902
2018-08-28T03:24:55.000Z, 101.351721
2018-08-28T03:44:55.000Z, 100.823125
2018-08-28T04:04:55.000Z, 100.545522
2018-08-28T04:24:55.000Z, 100.283728
2018-08-28T04:44:55.000Z, 100.247797
2018-08-28T05:04:55.000Z, 100.731057
2018-08-28T05:24:55.000Z, 101.557437
2018-08-28T05:44:55.000Z, 101.458968
2018-08-28T06:04:55.000Z, 100.000809
2018-08-28T06:24:55.000Z, 100.383455
2018-08-28T06:44:55.000Z, 99.602026
2018-08-28T07:04:55.000Z, 100.515983
2018-08-28T07:24:55.000Z, 99.040977
2018-08-28T07:44:55.000Z, 99.151743
2018-08-28T08:04:55.000Z, 99.980329
2018-08-28T08:24:55.000Z, 99.670612
2018-08-28T08:44:55.000Z, 97.925453
2018-08-28T09:04:55.000Z, 97.183394
2018-08-28T09:24:55.000Z, 97.020338
2018-08-28T09:44:55.000Z, 97.258956
2018-08-28T10:04:55.000Z, 96.562671
2018-08-28T10:24:55.000Z, 97.109790
2018-08-28T10:44:55.000Z, 96.669584
2018-08-28T11:04:55.000Z, 97.082673
2018-08-28T11:24:55.000Z, 97.109492
2018-08-28T11:44:55.000Z, 97.210174
2018-08-28T12:04:55.000Z, 97.383449
2018-08-28T12:24:55.000Z, 98.152325
2018-08-28T12:44:55.000Z, 99.563278
2018-08-28T13:04:55.000Z, 101.141375
2018-08-28T13:24:55.000Z, 97.506581
2018-08-28T13:44:55.000Z, 100.344701
2018-08-28T14:04:55.000Z, 99.596124
2018-08-28T14:24:55.000Z, 98.150635
2018-08-28T14:44:55.000Z, 99.862864
2018-08-28T15:04:55.000Z, 98.504118
2018-08-28T15:24:55.000Z, 95.957751
2018-08-28T15:44:55.000Z, 95.808244
2018-08-28T16:04:55.000Z, 96.724358
2018-08-28T16:24:55.000Z, 98.079184
2018-08-28T16:44:55.000Z, 101.230720
2018-08-28T17:04:55.000Z, 102.344224
2018-08-28T17:24:55.000Z, 102.605411
2018-08-28T17:44:55.000Z, 101.598830
2018-08-28T18:04:55.000Z, 100.031673
2018-08-28T18:24:55.000Z, 101.105104
2018-08-28T18:44:55.000Z, 99.738320
2018-08-28T19:04:55.000Z, 104.583558
2018-08-28T19:24:55.000Z, 102.600777
2018-08-28T19:44:55.000Z, 100.392467
2018-08-28T20:04:55.000Z, 99.374243
2018-08-28T20:24:55.000Z, 99.694314
2018-08-28T20:44:55.000Z, 98.527984
2018-08-28T21:04:55.000Z, 97.263631
2018-08-28T21:24:55.000Z, 97.240189
2018-08-28T21:44:55.000Z, 98.206281
2018-08-28T22:04:55.000Z, 98.420061
2018-08-28T22:24:55.000Z, 99.296296
2018-08-28T22:44:55.000Z, 97.861505
2018-08-28T23:04:55.000Z, 97.556376
2018-08-28T23:24:55.000Z, 97.995746
2018-08-28T23:44:55.000Z, 98.359090
2018-08-29T00:04:55.000Z, 98.759102
2018-08-29T00:24:55.000Z, 98.242216
2018-08-29T00:44:55.000Z, 98.343621
2018-08-29T01:04:55.000Z, 98.553977
2018-08-29T01:24:55.000Z, 99.421437
2018-08-29T01:44:55.000Z, 99.610368
2018-08-29T02:04:55.000Z, 99.611239
2018-08-29T02:24:55.000Z, 99.953874
2018-08-29T02:44:55.000Z, 99.420336
2018-08-29T03:04:55.000Z, 100.688739
2018-08-29T03:24:55.000Z, 100.345278
2018-08-29T03:44:55.000Z, 100.722143
2018-08-29T04:04:55.000Z, 100.369298
2018-08-29T04:24:55.000Z, 100.729249
2018-08-29T04:44:55.000Z, 100.883827
2018-08-29T05:04:55.000Z, 100.429414
2018-08-29T05:24:55.000Z, 100.174659
2018-08-29T05:44:55.000Z, 99.986816
2018-08-29T06:04:55.000Z, 100.640567
2018-08-29T06:24:55.000Z, 100.287770
2018-08-29T06:44:55.000Z, 100.940756
2018-08-29T07:04:55.000Z, 101.257949
2018-08-29T07:24:55.000Z, 101.919041
2018-08-29T07:44:55.000Z, 102.254864
2018-08-29T08:04:55.000Z, 104.038289
2018-08-29T08:24:55.000Z, 105.609544
2018-08-29T08:44:55.000Z, 105.095322
2018-08-29T09:04:55.000Z, 104.523712
2018-08-29T09:24:55.000Z, 104.875826
2018-08-29T09:44:55.000Z, 104.328417
2018-08-29T10:04:55.000Z, 104.364761
2018-08-29T10:24:55.000Z, 103.990544
2018-08-29T10:44:55.000Z, 103.488633
2018-08-29T11:04:55.000Z, 102.456838
2018-08-29T11:24:55.000Z, 102.512969
2018-08-29T11:44:55.000Z, 102.782991
2018-08-29T12:04:55.000Z, 101.407431
2018-08-29T12:24:55.000Z, 101.908785
2018-08-29T12:44:55.000Z, 100.939869
2018-08-29T13:04:55.000Z, 101.952033
2018-08-29T13:24:55.000Z, 100.385331
2018-08-29T13:44:55.000Z, 100.231334
2018-08-29T14:04:55.000Z, 99.390326
2018-08-29T14:24:55.000Z, 99.465231
2018-08-29T14:44:55.000Z, 99.466726
2018-08-29T15:04:55.000Z, 99.520674
2018-08-29T15:24:55.000Z, 99.171903
2018-08-29T15:44:55.000Z, 98.311180
2018-08-29T16:04:55.000Z, 97.729621
2018-08-29T16:24:55.000Z, 97.885054
2018-08-29T16:44:55.000Z, 97.851947
2018-08-29T17:04:55.000Z, 98.284625
2018-08-29T17:24:55.000Z, 98.527863
2018-08-29T17:44:55.000Z, 98.035311
2018-08-29T18:04:55.000Z, 98.137670
2018-08-29T18:24:55.000Z, 97.337166
2018-08-29T18:44:55.000Z, 97.442187
2018-08-29T19:04:55.000Z, 98.317232
2018-08-29T19:24:55.000Z, 98.121257
2018-08-29T19:44:55.000Z, 97.642913
2018-08-29T20:04:55.000Z, 97.262022
2018-08-29T20:24:55.000Z, 96.892060
2018-08-29T20:44:55.000Z, 97.920431
2018-08-29T21:04:55.000Z, 97.507249
2018-08-29T21:24:55.000Z, 96.772749
2018-08-29T21:44:55.000Z, 97.598768
2018-08-29T22:04:55.000Z, 97.827436
2018-08-29T22:24:55.000Z, 97.853067
2018-08-29T22:44:55.000Z, 97.139688
2018-08-29T23:04:55.000Z, 96.984168
2018-08-29T23:24:55.000Z, 97.534273
2018-08-29T23:44:55.000Z, 98.214380
2018-08-30T00:04:55.000Z, 98.639149
2018-08-30T00:24:55.000Z, 98.756614
2018-08-30T00:44:55.000Z, 99.062859
2018-08-30T01:04:55.000Z, 98.573346
2018-08-30T01:24:55.000Z, 98.443318
2018-08-30T01:44:55.000Z, 99.242293
2018-08-30T02:04:55.000Z, 100.069191
2018-08-30T02:24:55.000Z, 100.267473
2018-08-30T02:44:55.000Z, 101.056934
2018-08-30T03:04:55.000Z, 100.153798
2018-08-30T03:24:55.000Z, 100.410464
2018-08-30T03:44:55.000Z, 101.180152
2018-08-30T04:04:55.000Z, 100.762134
2018-08-30T04:24:55.000Z, 99.657503
2018-08-30T04:44:55.000Z, 99.511413
2018-08-30T05:04:55.000Z, 99.346839
2018-08-30T05:24:55.000Z, 98.738535
2018-08-30T05:44:55.000Z, 98.962583
2018-08-30T06:04:55.000Z, 99.690110
2018-08-30T06:24:55.000Z, 98.503548
2018-08-30T06:44:55.000Z, 98.004530
2018-08-30T07:04:55.000Z, 98.678170
2018-08-30T07:24:55.000Z, 98.277124
2018-08-30T07:44:55.000Z, 98.731021
